sector,ticker
Hotel,BBY
Alpha,SNA
Alpha,RCL
Charlie,EXPE
Charlie,TRIP
Alpha,FOXA
Foxtrot,AZO
Papa,PHM
Charlie,UAA
Alpha,F
Alpha,GRMN
Alpha,SWK
Romeo,OMC
Oscar,SBUX
Charlie,BKNG
Alpha,CHTR
Alpha,CMCSA
Alpha,TPR
Alpha,DIS
Alpha,CCL
Papa,DHI
Alpha,DISCA
Delta,DISH
Charlie,MAT
Hotel,TSCO
Alpha,BWA
Alpha,GM
Alpha,APTV
India,CMG
Romeo,IPG
Hotel,LOW
Alpha,LKQ
Alpha,GPC
Alpha,MHK
Alpha,WHR
Alpha,AAP
Alpha,MGM
Alpha,LEG
Papa,LEN
Alpha,NWL
Alpha,M
Lima,AMZN
Alpha,GT
Hotel,JWN
Foxtrot,ORLY
Alpha,HBI
Alpha,MCD
Foxtrot,HD
Charlie,HAS
Alpha,NCLH
Alpha,KO
Hotel,COST
Foxtrot,CL
Foxtrot,CLX
India,CVS
Alpha,PEP
Alpha,CHD
Alpha,PM
Alpha,HRL
Alpha,PG
Charlie,EL
Hotel,SYY
November,MDLZ
Alpha,K
Alpha,KMB
Alpha,MNST
November,TAP
November,MKC
Alpha,CPB
Alpha,MO
India,WBA
Hotel,WMT
India,TSN
Foxtrot,HSY
India,ADM
November,SLB
Alpha,WMB
Alpha,KMI
Echo,EOG
Delta,CVX
November,NOV
Delta,OXY
Delta,APC
Alpha,HAL
Echo,HP
Echo,HES
Delta,NBL
Delta,PSX
Delta,CXO
Alpha,XEC
Delta,MRO
Delta,COP
Alpha,BEN
Romeo,PBCT
November,ALL
November,TRV
Romeo,CMA
November,AJG
Romeo,FITB
Romeo,USB
Romeo,JPM
November,CB
Romeo,MTB
November,AON
Romeo,AXP
November,AIG
November,UNM
November,NTRS
November,CINF
Papa,SCHW
November,BK
November,ICE
November,HIG
Romeo,ZION
Romeo,C
Romeo,NAVI
November,CME
Alpha,MMC
November,NDAQ
Romeo,BAC
Delta,AMG
