sector,ticker
Charlie,BBY
Alpha,SNA
Bravo,RCL
Alpha,EXPE
Alpha,TRIP
Alpha,FOXA
Charlie,AZO
Charlie,PHM
Alpha,UAA
Bravo,F
Alpha,GRMN
Bravo,SWK
Delta,OMC
Alpha,SBUX
Alpha,BKNG
Bravo,CHTR
Bravo,CMCSA
Alpha,TPR
Alpha,DIS
Bravo,CCL
Charlie,DHI
Alpha,DISCA
Bravo,DISH
Alpha,MAT
Charlie,TSCO
Charlie,BWA
Alpha,GM
Charlie,APTV
Charlie,CMG
Delta,IPG
Charlie,LOW
Charlie,LKQ
Charlie,GPC
Alpha,MHK
Charlie,WHR
Charlie,AAP
Bravo,MGM
Charlie,LEG
Charlie,LEN
Bravo,NWL
Charlie,M
Alpha,AMZN
Alpha,GT
Charlie,JWN
Charlie,ORLY
Alpha,HBI
Alpha,MCD
Charlie,HD
Alpha,HAS
Bravo,NCLH
Bravo,KO
Charlie,COST
Alpha,CL
Alpha,CLX
Charlie,CVS
Alpha,PEP
Alpha,CHD
Alpha,PM
Charlie,HRL
Alpha,PG
Alpha,EL
Charlie,SYY
Bravo,MDLZ
Alpha,K
Alpha,KMB
Alpha,MNST
Bravo,TAP
Bravo,MKC
Alpha,CPB
Bravo,MO
Charlie,WBA
Charlie,WMT
Charlie,TSN
Alpha,HSY
Charlie,ADM
Bravo,SLB
Bravo,WMB
Bravo,KMI
Alpha,EOG
Bravo,CVX
Bravo,NOV
Bravo,OXY
Bravo,APC
Alpha,HAL
Alpha,HP
Bravo,HES
Bravo,NBL
Charlie,PSX
Bravo,CXO
Alpha,XEC
Bravo,MRO
Bravo,COP
Bravo,BEN
Delta,PBCT
Bravo,ALL
Bravo,TRV
Delta,CMA
Bravo,AJG
Delta,FITB
Delta,USB
Delta,JPM
Bravo,CB
Delta,MTB
Bravo,AON
Delta,AXP
Bravo,AIG
Bravo,UNM
Bravo,NTRS
Bravo,CINF
Charlie,SCHW
Bravo,BK
Bravo,ICE
Bravo,HIG
Delta,ZION
Delta,C
Delta,NAVI
Bravo,CME
Alpha,MMC
Bravo,NDAQ
Delta,BAC
Bravo,AMG
Delta,DFS
Delta,BBT
Bravo,ETFC
Bravo,CBOE
Alpha,SPGI
Delta,STI
Bravo,BRK.B
Bravo,STT
Delta,SIVB
Alpha,TROW
Bravo,RE
Delta,KEY
Delta,RJF
Delta,HBAN
Bravo,MET
Delta,COF
Delta,RF
Delta,WFC
Alpha,LLY
Alpha,MTD
Alpha,ILMN
Alpha,IDXX
Alpha,VAR
Echo,INCY
Echo,VRTX
Bravo,AGN
Bravo,ABT
Bravo,ALXN
Alpha,JNJ
Echo,NKTR
Bravo,LH
Alpha,ISRG
Alpha,A
Alpha,ALGN
Alpha,ZTS
Bravo,PKI
Alpha,PRGO
Alpha,SYK
Alpha,DGX
Bravo,BDX
Alpha,BAX
Charlie,HUM
Alpha,RMD
Alpha,EW
Alpha,BSX
Echo,REGN
Bravo,DHR
Bravo,DVA
Bravo,CI
Alpha,HOLX
Charlie,UHS
Charlie,HSIC
Alpha,HCA
Charlie,CAH
Charlie,ABC
Alpha,COO
Alpha,AMGN
Charlie,CNC
Alpha,GILD
Charlie,UNH
Charlie,ANTM
Alpha,CERN
Alpha,BIIB
Alpha,XYL
Charlie,TXT
Alpha,TDG
Alpha,LUV
Bravo,NLSN
Bravo,COL
Bravo,NSC
Bravo,NOC
Bravo,VRSK
Bravo,UTX
Bravo,URI
Charlie,UPS
Delta,PCAR
Bravo,ROP
Bravo,PH
Bravo,UNP
Charlie,PWR
Alpha,RTN
Alpha,WM
Bravo,RSG
Charlie,RHI
Alpha,ROK
Alpha,UAL
Bravo,PNR
Alpha,MMM
Alpha,MAS
Alpha,FBHS
Bravo,CSX
Bravo,IR
Alpha,ITW
Bravo,INFO
Charlie,HII
Alpha,HON
Charlie,BA
Alpha,FLS
Charlie,GWW
Charlie,FLR
Alpha,CAT
Alpha,GD
Alpha,EFX
Alpha,CMI
Alpha,AME
Alpha,DAL
Bravo,LLL
Delta,DE
Alpha,AYI
Bravo,KSU
Charlie,LMT
Charlie,EXPD
Alpha,ALK
Alpha,EMR
Bravo,JCI
Charlie,JEC
Charlie,JBHT
Charlie,FAST
Alpha,DOV
Alpha,AOS
Bravo,ETN
Alpha,CTSH
Alpha,GLW
Alpha,MA
Alpha,STX
Alpha,SNPS
Alpha,SWKS
Alpha,EBAY
Alpha,TEL
Alpha,TSS
Alpha,CTXS
Charlie,ACN
Alpha,ATVI
Bravo,XRX
Alpha,ADBE
Echo,AMD
Alpha,AKAM
Alpha,WU
Alpha,WDC
Delta,ADS
Alpha,V
Alpha,VRSN
Alpha,APH
Bravo,ADI
Alpha,AAPL
Alpha,AMAT
Bravo,ADP
Alpha,AVGO
Echo,CDNS
Bravo,CSCO
Alpha,TXN
Bravo,GPN
Alpha,IBM
Alpha,INTC
Alpha,FB
Charlie,HPQ
Alpha,HRS
Alpha,NVDA
Bravo,FIS
Alpha,FISV
Bravo,IT
Alpha,FLIR
Alpha,INTU
Alpha,IPGP
Bravo,NFLX
Alpha,FFIV
Alpha,LRCX
Alpha,MU
Bravo,MSFT
Bravo,QCOM
Alpha,KLAC
Alpha,MSI
Alpha,JNPR
Bravo,WRK
Alpha,LYB
Bravo,IP
Bravo,CF
