sector,ticker
Hotel,BBY
Golf,SNA
Golf,RCL
Foxtrot,EXPE
Foxtrot,TRIP
Golf,FOXA
Mike,AZO
Papa,PHM
Foxtrot,UAA
Golf,F
Golf,GRMN
Golf,SWK
Alpha,OMC
Oscar,SBUX
Foxtrot,BKNG
Golf,CHTR
Golf,CMCSA
Golf,TPR
Golf,DIS
Golf,CCL
Papa,DHI
Golf,DISCA
Delta,DISH
Foxtrot,MAT
Hotel,TSCO
Golf,BWA
Golf,GM
Golf,APTV
India,CMG
Alpha,IPG
Hotel,LOW
Golf,LKQ
Golf,GPC
Golf,MHK
Golf,WHR
Golf,AAP
Golf,MGM
Golf,LEG
Papa,LEN
Golf,NWL
Golf,M
Lima,AMZN
Golf,GT
Hotel,JWN
Mike,ORLY
Golf,HBI
Golf,MCD
Mike,HD
Foxtrot,HAS
Golf,NCLH
Golf,KO
Hotel,COST
Mike,CL
Mike,CLX
India,CVS
Golf,PEP
Golf,CHD
Golf,PM
Golf,HRL
Golf,PG
Foxtrot,EL
Hotel,SYY
Alpha,MDLZ
Golf,K
Golf,KMB
Golf,MNST
Alpha,TAP
Alpha,MKC
Golf,CPB
Golf,MO
India,WBA
Hotel,WMT
India,TSN
Mike,HSY
India,ADM
Alpha,SLB
Golf,WMB
Golf,KMI
Echo,EOG
Delta,CVX
Alpha,NOV
Delta,OXY
Delta,APC
Golf,HAL
Echo,HP
Echo,HES
Delta,NBL
Delta,PSX
Delta,CXO
Golf,XEC
Delta,MRO
Delta,COP
Golf,BEN
Alpha,PBCT
Alpha,ALL
Alpha,TRV
Alpha,CMA
Alpha,AJG
Alpha,FITB
Alpha,USB
Alpha,JPM
Alpha,CB
Alpha,MTB
Alpha,AON
Alpha,AXP
Alpha,AIG
Alpha,UNM
Alpha,NTRS
Alpha,CINF
Papa,SCHW
Alpha,BK
Alpha,ICE
Alpha,HIG
Alpha,ZION
Alpha,C
Alpha,NAVI
Alpha,CME
Golf,MMC
Alpha,NDAQ
Alpha,BAC
Delta,AMG
Alpha,DFS
Alpha,BBT
Alpha,ETFC
Alpha,CBOE
Golf,SPGI
Alpha,STI
Alpha,BRK.B
Alpha,STT
Alpha,SIVB
Oscar,TROW
Alpha,RE
Alpha,KEY
Alpha,RJF
Alpha,HBAN
Alpha,MET
Alpha,COF
Alpha,RF
Alpha,WFC
Golf,LLY
Golf,MTD
Golf,ILMN
Golf,IDXX
Golf,VAR
Bravo,INCY
Bravo,VRTX
Alpha,AGN
Alpha,ABT
Alpha,ALXN
Golf,JNJ
Juliett,NKTR
Alpha,LH
Golf,ISRG
Golf,A
Golf,ALGN
Golf,ZTS
Alpha,PKI
Golf,PRGO
Golf,SYK
Golf,DGX
Alpha,BDX
Golf,BAX
India,HUM
Golf,RMD
Golf,EW
Golf,BSX
Golf,REGN
Alpha,DHR
Golf,DVA
Alpha,CI
Golf,HOLX
Golf,UHS
Golf,HSIC
November,HCA
Kilo,CAH
Kilo,ABC
Golf,COO
Golf,AMGN
India,CNC
Golf,GILD
India,UNH
India,ANTM
Golf,CERN
Golf,BIIB
Golf,XYL
Golf,TXT
November,TDG
Golf,LUV
Golf,NLSN
Alpha,COL
Golf,NSC
Alpha,NOC
Golf,VRSK
Golf,UTX
November,URI
India,UPS
Alpha,PCAR
Alpha,ROP
Golf,PH
Golf,UNP
India,PWR
Golf,RTN
Golf,WM
Golf,RSG
Mike,RHI
Golf,ROK
Golf,UAL
Golf,PNR
Golf,MMM
Golf,MAS
Golf,FBHS
Golf,CSX
Golf,IR
Golf,ITW
Alpha,INFO
Golf,HII
Golf,HON
Golf,BA
Golf,FLS
Hotel,GWW
India,FLR
Golf,CAT
Golf,GD
Golf,EFX
Golf,CMI
Golf,AME
Golf,DAL
Golf,LLL
Alpha,DE
Golf,AYI
Golf,KSU
Golf,LMT
India,EXPD
Golf,ALK
Golf,EMR
Golf,JCI
India,JEC
India,JBHT
Mike,FAST
Golf,DOV
Golf,AOS
Golf,ETN
Golf,CTSH
Golf,GLW
Charlie,MA
Golf,STX
Golf,SNPS
Charlie,SWKS
Golf,EBAY
Golf,TEL
Golf,TSS
Golf,CTXS
India,ACN
Golf,ATVI
Golf,XRX
Golf,ADBE
Lima,AMD
Golf,AKAM
Golf,WU
Golf,WDC
Alpha,ADS
Golf,V
Quebec,VRSN
Golf,APH
Alpha,ADI
Golf,AAPL
Golf,AMAT
Alpha,ADP
Golf,AVGO
Lima,CDNS
Golf,CSCO
Charlie,TXN
Alpha,GPN
Golf,IBM
Golf,INTC
Charlie,FB
India,HPQ
Golf,HRS
Charlie,NVDA
Golf,FIS
Golf,FISV
Alpha,IT
Golf,FLIR
Charlie,INTU
Golf,IPGP
Alpha,NFLX
Charlie,FFIV
Golf,LRCX
Golf,MU
Golf,MSFT
Golf,QCOM
Golf,KLAC
Golf,MSI
Golf,JNPR
Alpha,WRK
Golf,LYB
Golf,IP
Golf,CF
Alpha,MOS
Golf,NUE
Alpha,VMC
Golf,BLL
Golf,AVY
Golf,APD
Golf,NEM
Golf,FCX
Golf,ECL
Alpha,DWDP
Golf,SHW
Golf,PPG
Golf,SEE
Alpha,FMC
Golf,EQR
Golf,SLG
Golf,SPG
Golf,WY
Golf,KIM
Golf,VTR
Delta,PLD
Golf,VNO
November,SBAC
Golf,IRM
Golf,DRE
Golf,ARE
Golf,HST
Golf,O
Golf,ESS
Golf,DLR
Golf,CCI
Golf,REG
Golf,BXP
Golf,FRT
Golf,AVB
Golf,HCP
Alpha,UDR
Golf,EQIX
Golf,MAC
Golf,T
Golf,VZ
Golf,AES
Alpha,EXC
Alpha,XEL
Alpha,ETR
Alpha,EIX
Alpha,ES
Alpha,WEC
Golf,CMS
Alpha,ED
Alpha,PNW
Golf,FE
Golf,CNP
Golf,PPL
Alpha,SO
Alpha,DTE
Alpha,NI
Golf,NEE
Golf,AWK
Alpha,SRE
Alpha,AEE
Alpha,DUK
Alpha,LNT
Alpha,AEP
