sector,ticker
Hotel,BBY
Charlie,SNA
Charlie,RCL
Foxtrot,EXPE
Foxtrot,TRIP
Charlie,FOXA
Mike,AZO
Papa,PHM
Foxtrot,UAA
Charlie,F
Charlie,GRMN
Charlie,SWK
Romeo,OMC
Oscar,SBUX
Foxtrot,BKNG
Charlie,CHTR
Charlie,CMCSA
Charlie,TPR
Charlie,DIS
Charlie,CCL
Papa,DHI
Charlie,DISCA
Delta,DISH
Foxtrot,MAT
Hotel,TSCO
Charlie,BWA
Charlie,GM
Charlie,APTV
India,CMG
Romeo,IPG
Hotel,LOW
Charlie,LKQ
Charlie,GPC
Charlie,MHK
Charlie,WHR
Charlie,AAP
Charlie,MGM
Charlie,LEG
Papa,LEN
Charlie,NWL
Charlie,M
Lima,AMZN
Charlie,GT
Hotel,JWN
Mike,ORLY
Charlie,HBI
Charlie,MCD
Mike,HD
Foxtrot,HAS
Charlie,NCLH
Charlie,KO
Hotel,COST
Mike,CL
Mike,CLX
India,CVS
Charlie,PEP
Charlie,CHD
Charlie,PM
Charlie,HRL
Charlie,PG
Foxtrot,EL
Hotel,SYY
November,MDLZ
Charlie,K
Charlie,KMB
Charlie,MNST
November,TAP
November,MKC
Charlie,CPB
Charlie,MO
India,WBA
Hotel,WMT
India,TSN
Mike,HSY
India,ADM
November,SLB
Charlie,WMB
Charlie,KMI
Echo,EOG
Delta,CVX
November,NOV
Delta,OXY
Delta,APC
Charlie,HAL
Echo,HP
Echo,HES
Delta,NBL
Delta,PSX
Delta,CXO
Charlie,XEC
Delta,MRO
Delta,COP
Charlie,BEN
Romeo,PBCT
November,ALL
November,TRV
Romeo,CMA
November,AJG
Romeo,FITB
Romeo,USB
Romeo,JPM
November,CB
Romeo,MTB
November,AON
Romeo,AXP
November,AIG
November,UNM
November,NTRS
November,CINF
Papa,SCHW
November,BK
November,ICE
November,HIG
Romeo,ZION
Romeo,C
Romeo,NAVI
November,CME
Charlie,MMC
November,NDAQ
Romeo,BAC
Delta,AMG
Romeo,DFS
Romeo,BBT
November,ETFC
November,CBOE
Charlie,SPGI
Romeo,STI
November,BRK.B
November,STT
Romeo,SIVB
Oscar,TROW
November,RE
Romeo,KEY
Romeo,RJF
Romeo,HBAN
November,MET
Romeo,COF
Romeo,RF
Romeo,WFC
Charlie,LLY
Charlie,MTD
Charlie,ILMN
Charlie,IDXX
Charlie,VAR
Bravo,INCY
Bravo,VRTX
November,AGN
November,ABT
November,ALXN
Charlie,JNJ
Juliett,NKTR
November,LH
Charlie,ISRG
Charlie,A
Charlie,ALGN
Charlie,ZTS
November,PKI
Charlie,PRGO
Charlie,SYK
Charlie,DGX
November,BDX
Charlie,BAX
India,HUM
Charlie,RMD
Charlie,EW
Charlie,BSX
Charlie,REGN
November,DHR
Charlie,DVA
November,CI
Charlie,HOLX
Charlie,UHS
Charlie,HSIC
Golf,HCA
Kilo,CAH
Kilo,ABC
Charlie,COO
Charlie,AMGN
India,CNC
Charlie,GILD
India,UNH
India,ANTM
Charlie,CERN
Charlie,BIIB
Charlie,XYL
Charlie,TXT
Golf,TDG
Charlie,LUV
Charlie,NLSN
November,COL
Charlie,NSC
November,NOC
Charlie,VRSK
Charlie,UTX
Golf,URI
India,UPS
Romeo,PCAR
November,ROP
Charlie,PH
Charlie,UNP
India,PWR
Charlie,RTN
Charlie,WM
Charlie,RSG
Mike,RHI
Charlie,ROK
Charlie,UAL
Charlie,PNR
Charlie,MMM
Charlie,MAS
Charlie,FBHS
Charlie,CSX
Charlie,IR
Charlie,ITW
November,INFO
Charlie,HII
Charlie,HON
Charlie,BA
Charlie,FLS
Hotel,GWW
India,FLR
Charlie,CAT
Charlie,GD
Charlie,EFX
Charlie,CMI
Charlie,AME
Charlie,DAL
Charlie,LLL
Romeo,DE
Charlie,AYI
Charlie,KSU
Charlie,LMT
India,EXPD
Charlie,ALK
Charlie,EMR
Charlie,JCI
India,JEC
India,JBHT
Mike,FAST
Charlie,DOV
Charlie,AOS
Charlie,ETN
Charlie,CTSH
Charlie,GLW
Alpha,MA
Charlie,STX
Charlie,SNPS
Alpha,SWKS
Charlie,EBAY
Charlie,TEL
Charlie,TSS
Charlie,CTXS
India,ACN
Charlie,ATVI
Charlie,XRX
Charlie,ADBE
Lima,AMD
Charlie,AKAM
Charlie,WU
Charlie,WDC
Romeo,ADS
Charlie,V
Quebec,VRSN
Charlie,APH
November,ADI
Charlie,AAPL
Charlie,AMAT
November,ADP
Charlie,AVGO
Lima,CDNS
Charlie,CSCO
Alpha,TXN
November,GPN
Charlie,IBM
Charlie,INTC
Alpha,FB
India,HPQ
Charlie,HRS
Alpha,NVDA
Charlie,FIS
Charlie,FISV
November,IT
Charlie,FLIR
Alpha,INTU
Charlie,IPGP
November,NFLX
Alpha,FFIV
Charlie,LRCX
Charlie,MU
Charlie,MSFT
Charlie,QCOM
Charlie,KLAC
Charlie,MSI
Charlie,JNPR
November,WRK
Charlie,LYB
Charlie,IP
Charlie,CF
November,MOS
Charlie,NUE
November,VMC
Charlie,BLL
Charlie,AVY
Charlie,APD
Charlie,NEM
Charlie,FCX
Charlie,ECL
November,DWDP
Charlie,SHW
Charlie,PPG
Charlie,SEE
November,FMC
Charlie,EQR
Charlie,SLG
Charlie,SPG
Charlie,WY
Charlie,KIM
Charlie,VTR
Delta,PLD
Charlie,VNO
Golf,SBAC
Charlie,IRM
Charlie,DRE
Charlie,ARE
Charlie,HST
Charlie,O
Charlie,ESS
Charlie,DLR
Charlie,CCI
Charlie,REG
Charlie,BXP
Charlie,FRT
Charlie,AVB
Charlie,HCP
November,UDR
Charlie,EQIX
Charlie,MAC
Charlie,T
Charlie,VZ
Charlie,AES
November,EXC
November,XEL
November,ETR
November,EIX
November,ES
November,WEC
Charlie,CMS
November,ED
November,PNW
Charlie,FE
Charlie,CNP
Charlie,PPL
November,SO
November,DTE
November,NI
Charlie,NEE
Charlie,AWK
November,SRE
November,AEE
November,DUK
November,LNT
November,AEP
