sector,ticker
Bravo,BBY
Alpha,SNA
Alpha,RCL
Echo,EXPE
Echo,TRIP
Alpha,FOXA
Bravo,AZO
Alpha,PHM
Alpha,UAA
Alpha,F
Alpha,GRMN
Alpha,SWK
Alpha,OMC
Golf,SBUX
Echo,BKNG
Alpha,CHTR
Alpha,CMCSA
Alpha,TPR
Alpha,DIS
Alpha,CCL
Alpha,DHI
Alpha,DISCA
Alpha,DISH
Alpha,MAT
Bravo,TSCO
Alpha,BWA
Alpha,GM
Alpha,APTV
Alpha,CMG
Alpha,IPG
Bravo,LOW
Alpha,LKQ
Alpha,GPC
Alpha,MHK
Alpha,WHR
Alpha,AAP
Alpha,MGM
Alpha,LEG
Alpha,LEN
Alpha,NWL
Alpha,M
Alpha,AMZN
Alpha,GT
Bravo,JWN
Bravo,ORLY
Alpha,HBI
Alpha,MCD
Bravo,HD
Echo,HAS
Alpha,NCLH
Alpha,KO
Bravo,COST
Echo,CL
Echo,CLX
Alpha,CVS
Alpha,PEP
Alpha,CHD
Alpha,PM
Alpha,HRL
Alpha,PG
Echo,EL
Bravo,SYY
Alpha,MDLZ
Alpha,K
Alpha,KMB
Alpha,MNST
Alpha,TAP
Alpha,MKC
Alpha,CPB
Alpha,MO
Alpha,WBA
Bravo,WMT
Alpha,TSN
Echo,HSY
Alpha,ADM
Alpha,SLB
Alpha,WMB
Alpha,KMI
Alpha,EOG
Alpha,CVX
Alpha,NOV
Alpha,OXY
Alpha,APC
Alpha,HAL
Alpha,HP
Hotel,HES
Alpha,NBL
Alpha,PSX
Alpha,CXO
Alpha,XEC
Alpha,MRO
Alpha,COP
Alpha,BEN
Alpha,PBCT
Alpha,ALL
Alpha,TRV
Alpha,CMA
Alpha,AJG
Alpha,FITB
Alpha,USB
Alpha,JPM
Alpha,CB
Alpha,MTB
Alpha,AON
Alpha,AXP
Alpha,AIG
Alpha,UNM
Alpha,NTRS
Alpha,CINF
Alpha,SCHW
Alpha,BK
Alpha,ICE
Alpha,HIG
Alpha,ZION
Alpha,C
Alpha,NAVI
Alpha,CME
Alpha,MMC
Alpha,NDAQ
Alpha,BAC
Alpha,AMG
Alpha,DFS
Alpha,BBT
Alpha,ETFC
Alpha,CBOE
Alpha,SPGI
Alpha,STI
Alpha,BRK.B
Alpha,STT
Alpha,SIVB
Golf,TROW
Alpha,RE
Alpha,KEY
Alpha,RJF
Alpha,HBAN
Alpha,MET
Alpha,COF
Alpha,RF
Alpha,WFC
Alpha,LLY
Alpha,MTD
Alpha,ILMN
Alpha,IDXX
Alpha,VAR
Charlie,INCY
Charlie,VRTX
Alpha,AGN
Alpha,ABT
Alpha,ALXN
Alpha,JNJ
India,NKTR
Alpha,LH
Alpha,ISRG
Alpha,A
Alpha,ALGN
Alpha,ZTS
Alpha,PKI
Alpha,PRGO
Alpha,SYK
Alpha,DGX
Alpha,BDX
Alpha,BAX
Alpha,HUM
Alpha,RMD
Alpha,EW
Alpha,BSX
Alpha,REGN
Alpha,DHR
Alpha,DVA
Alpha,CI
Alpha,HOLX
Alpha,UHS
Alpha,HSIC
Alpha,HCA
Foxtrot,CAH
Foxtrot,ABC
Alpha,COO
Alpha,AMGN
Alpha,CNC
Alpha,GILD
Alpha,UNH
Alpha,ANTM
Alpha,CERN
Alpha,BIIB
Alpha,XYL
Alpha,TXT
Alpha,TDG
Alpha,LUV
Alpha,NLSN
Alpha,COL
Alpha,NSC
Alpha,NOC
Alpha,VRSK
Alpha,UTX
Alpha,URI
Alpha,UPS
Alpha,PCAR
Alpha,ROP
Alpha,PH
Alpha,UNP
Alpha,PWR
Alpha,RTN
Alpha,WM
Alpha,RSG
Bravo,RHI
Alpha,ROK
Alpha,UAL
Alpha,PNR
Alpha,MMM
Alpha,MAS
Alpha,FBHS
Alpha,CSX
Alpha,IR
Alpha,ITW
Alpha,INFO
Alpha,HII
Alpha,HON
Alpha,BA
Alpha,FLS
Bravo,GWW
Alpha,FLR
Alpha,CAT
Alpha,GD
Alpha,EFX
Alpha,CMI
Alpha,AME
Alpha,DAL
Alpha,LLL
Alpha,DE
Alpha,AYI
Alpha,KSU
Alpha,LMT
Alpha,EXPD
Alpha,ALK
Alpha,EMR
Alpha,JCI
Alpha,JEC
Alpha,JBHT
Bravo,FAST
Alpha,DOV
Alpha,AOS
Alpha,ETN
Alpha,CTSH
Alpha,GLW
Alpha,MA
Alpha,STX
Alpha,SNPS
Alpha,SWKS
Alpha,EBAY
Alpha,TEL
Alpha,TSS
Alpha,CTXS
Alpha,ACN
Alpha,ATVI
Alpha,XRX
Alpha,ADBE
Juliett,AMD
Alpha,AKAM
Alpha,WU
Alpha,WDC
Alpha,ADS
Alpha,V
Kilo,VRSN
Alpha,APH
Alpha,ADI
Alpha,AAPL
